timestep,learner_elo,opponent,opponent_elo,wins,draws,losses
220000,1481.553853708921,PPO_200000,1513.3255839069961,50,0,50
230000,1487.1122537642298,Tactical,1404.5677752665345,59,0,41
230000,1487.1122537642298,PPO_150000,1046.86794817763,91,0,9
230000,1487.1122537642298,MiniMax2,1493.1523634391067,50,0,50
230000,1487.1122537642298,PPO_200000,1497.5923343562808,52,0,48
240000,1472.1875928150523,Tactical,1420.8393975496645,66,0,34
240000,1472.1875928150523,PPO_150000,1059.2919872899797,93,0,7
240000,1472.1875928150523,PPO_200000,1484.7210357891595,49,0,51
240000,1472.1875928150523,MiniMax2,1492.2526615599259,49,0,51
250000,1522.4222069716945,MiniMax2,1489.7073372022505,50,0,50
250000,1522.4222069716945,PPO_200000,1474.9537678152824,52,0,48
250000,1522.4222069716945,MiniMax4,1615.401659411346,41,0,59
250000,1522.4222069716945,Tactical,1391.187166166162,65,0,35
260000,1486.2352263995056,PPO_250000,1486.2352263995056,50,0,50
260000,1486.2352263995056,PPO_200000,1485.5730877588278,50,0,50
260000,1486.2352263995056,MiniMax2,1506.2948455401136,50,0,50
260000,1486.2352263995056,MiniMax4,1607.1413818610033,41,0,59
270000,1518.996355973837,MiniMax2,1499.0682484927631,49,0,51
270000,1518.996355973837,PPO_200000,1485.0479080427028,59,0,41
270000,1518.996355973837,MiniMax4,1583.9583002203271,46,0,54
270000,1518.996355973837,PPO_250000,1484.4089552293258,55,0,45
280000,1538.7881620327996,MiniMax2,1510.7235851881405,50,0,50
280000,1538.7881620327996,PPO_250000,1484.9920702911472,50,0,50
280000,1538.7881620327996,MiniMax4,1571.894162661627,45,0,55
280000,1538.7881620327996,PPO_200000,1465.0817877852414,59,0,41
290000,1492.6817333065057,PPO_200000,1474.4311569987383,55,0,45
290000,1492.6817333065057,Tactical,1408.427596007285,70,0,30
290000,1492.6817333065057,PPO_250000,1507.436114970632,50,0,50
290000,1492.6817333065057,MiniMax2,1525.2134946198928,47,0,53
300000,1542.1982120227528,MiniMax2,1520.2395446972719,49,0,51
300000,1542.1982120227528,PPO_250000,1498.951452207624,50,0,50
300000,1542.1982120227528,MiniMax4,1571.717268063187,47,0,53
300000,1542.1982120227528,PPO_200000,1464.220766323954,62,0,38
310000,1523.2484176684477,PPO_300000,1523.2484176684477,50,0,50
310000,1523.2484176684477,PPO_250000,1516.6388061079833,50,0,50
310000,1523.2484176684477,MiniMax2,1535.2005217637059,47,0,53
310000,1523.2484176684477,MiniMax4,1568.8823032003957,46,0,54
320000,1523.0118824857973,PPO_300000,1521.422146498268,49,0,51
320000,1523.0118824857973,PPO_250000,1513.8634385080534,55,0,45
320000,1523.0118824857973,MiniMax2,1539.8594941658357,51,0,49
320000,1523.0118824857973,MiniMax4,1569.061504751026,48,1,51
330000,1550.234232660123,MiniMax2,1530.2851706755791,46,0,54
330000,1550.234232660123,PPO_300000,1527.9494745398124,50,0,50
330000,1550.234232660123,MiniMax4,1553.0437279261962,45,0,55
330000,1550.234232660123,PPO_250000,1505.7058606072694,52,0,48
340000,1487.1507949103045,PPO_200000,1453.3571945742572,56,0,44
340000,1487.1507949103045,Tactical,1382.5801206514511,53,0,47
340000,1487.1507949103045,PPO_250000,1518.0231985423968,57,0,43
340000,1487.1507949103045,PPO_300000,1536.1801684900972,51,0,49
350000,1513.754189396825,PPO_300000,1504.4207536816741,52,0,48
350000,1513.754189396825,PPO_250000,1479.3360934501297,53,0,47
350000,1513.754189396825,MiniMax2,1555.0340480296236,49,0,51
350000,1513.754189396825,MiniMax4,1570.830256436558,48,0,52
360000,1540.0749471285394,PPO_350000,1540.0749471285394,67,0,33
360000,1540.0749471285394,PPO_300000,1499.3142130736444,55,0,45
360000,1540.0749471285394,MiniMax2,1542.4569606449606,48,0,52
360000,1540.0749471285394,MiniMax4,1557.0579735775268,49,0,51
370000,1596.3453179379514,MiniMax4,1554.761747763637,46,0,54
370000,1596.3453179379514,MiniMax2,1547.7539008667209,41,0,59
370000,1596.3453179379514,PPO_300000,1501.0409876801234,63,0,37
370000,1596.3453179379514,PPO_250000,1484.4712465701393,85,0,15
380000,1584.4588944579027,PPO_300000,1507.4681359183335,62,0,38
380000,1584.4588944579027,PPO_350000,1479.077087304778,78,0,22
380000,1584.4588944579027,MiniMax4,1585.0088178980207,48,0,52
380000,1584.4588944579027,MiniMax2,1598.8840454184008,47,0,53
390000,1619.0622954621124,MiniMax2,1605.4340808754907,48,0,52
390000,1619.0622954621124,MiniMax4,1591.3634258584236,48,0,52
390000,1619.0622954621124,PPO_300000,1503.852302243466,64,0,36
390000,1619.0622954621124,PPO_200000,1451.6524996060364,97,0,3
400000,1666.8175986435488,MiniMax2,1618.5825224559153,49,0,51
400000,1666.8175986435488,MiniMax4,1616.1815556829824,46,0,54
400000,1666.8175986435488,PPO_300000,1522.7917839376476,71,0,29
400000,1666.8175986435488,PPO_350000,1435.1848765579427,69,0,31
410000,1580.5107186052087,PPO_400000,1580.5107186052087,92,0,8
410000,1580.5107186052087,PPO_300000,1512.7330710561978,85,0,15
410000,1580.5107186052087,MiniMax2,1643.6316733171543,48,0,52
410000,1580.5107186052087,MiniMax4,1648.8562076679952,16,0,84
420000,1762.9171149376004,MiniMax4,1731.617740132908,45,1,54
420000,1762.9171149376004,MiniMax2,1623.3633991066763,49,0,51
420000,1762.9171149376004,PPO_350000,1473.8266666314807,94,0,6
420000,1762.9171149376004,PPO_400000,1433.815384548952,93,0,7
430000,1748.9877685009358,MiniMax2,1690.0105581477233,48,0,52
430000,1748.9877685009358,Tactical,1428.1279410338416,68,0,32
430000,1748.9877685009358,MiniMax4,1759.0543743428018,46,0,54
430000,1748.9877685009358,PPO_350000,1426.189713009694,99,0,1
440000,1686.2757909268416,Tactical,1519.0124786325007,66,0,34
